Brand,Model,Engine Capacity,Price,Kilometers,Location
Yamaha Fazer,2013,123.7,38000,56642,"Poonamallee, Chennai"
Yamaha FZ S,2019,153,85000,24500,"Anna Nagar Western Extn., Chennai"
Yamaha RX135,2002,132,130000,1500,"Iyyappanthangal, Chennai"
UM Motorcycles Renegade Commando,2018,223,114999,17113,"Thiruverkadu, Chennai"
Yamaha YZF-R3,2019,321,300000,13000,"Pallavaram, Chennai"
Yamaha YZF R15,2017,149,90000,29489,"Alwarthirunagar, Chennai"
Hero Pleasure 100,2018,102,44000,19800,"Adambakkam, Chennai"
Yamaha YZF-R3,2019,321,300000,13000,"Pallavaram, Chennai"
Bajaj Dominar 400,2017,373.3,114999,27000,"Ambattur, Chennai"
Hero Honda Street,2015,NA,NA,NA,"Pallavaram, Chennai"
Suzuki Zeus,2006,124,11500,55000,"Medavakkam, Chennai"
Royal Enfield Bullet Classic,2014,346,80000,68000,"Sholinganallur, Chennai"
Bajaj Avenger 220,2017,220,60000,5000,"Royapettah, Chennai"
Honda Activa 4G,2017,109.2,37000,31000,"Anakaputhur, Chennai"
Royal Enfield Thunderbird 350,2016,346,110000,37400,"Perambur, Chennai"
TVS Scooty,2008,87.8,14000,35000,"Poonamallee, Chennai"
Bajaj Avenger 220,2011,220,30000,25000,"Neelankarai, Chennai"
Royal Enfield Bullet,2011,346,80000,25000,"Adyar, Chennai"
TVS Heavy Duty Super XL,2019,69.9,35000,8000,"Virugambakkam, Chennai"
Yamaha RX135,2002,132,86500,10800,"Arumbakkam, Chennai"
Jawa Forty Two,2020,293,171000,4600,"Royapettah, Chennai"
Royal Enfield Bullet,1997,346,80000,40000,"Adyar, Chennai"
Honda CB Hornet 160R,2020,162.71,129000,1140,"Iyyappanthangal, Chennai"
Honda CB Hornet 160R,2020,162.71,129000,1140,"Iyyappanthangal, Chennai"
Honda CB Hornet 160R,2020,162.71,129000,1140,"Iyyappanthangal, Chennai"
Yamaha YZF R15,2015,149,72000,28000,"Thiruvanmiyur, Chennai"
Yamaha YZF R15,2018,149,120000,8236,"Villivakkam, Chennai"
Yamaha RXZ 135,1997,132,160000,20000,"Kilpauk, Chennai"
Honda Dio,2016,109,36000,35000,"Washermanpet, Chennai"
Honda Activa,2014,109,33000,34500,"Manapakkam, Chennai"
Honda Dio,2019,109,51000,15000,"Sholinganallur, Chennai"
Yamaha Ray Z,2016,113,NA,16500,"Guduvanchery, Chennai"
TVS Scooty,2012,87.8,19500,16500,"Guduvanchery, Chennai"
Suzuki Heat,2008,124,24000,52000,"Avadi, Chennai"
Honda Dio,2014,109,28000,30000,"Broadway, Chennai"
Bajaj Sunny 50CC,1999,NA,14000,12000,"Annanur, Chennai"
Honda Dio,2014,109,28000,30000,"Broadway, Chennai"
Royal Enfield Bullet,NA,346,100000,13000,"Sembakkam, Chennai"
Hero Honda Passion,2006,97.2,15000,50000,"Tambaram West, Chennai"
TVS Heavy Duty Super XL,2018,69.9,28000,13000,"Maduravoyal, Chennai"
Jawa 300,2020,293,182000,4600,"Villivakkam, Chennai"
TVS Ntorq 125,2020,124.79,70000,18000,"Maduravoyal, Chennai"
TVS Ntorq 125,2019,124.79,48000,15000,"Maduravoyal, Chennai"
TVS Ntorq 125,2019,124.79,55000,12000,"Maduravoyal, Chennai"
Jawa 300,2020,293,150000,14500,"Maduravoyal, Chennai"
TVS Star City Plus,2019,109.7,43000,20000,"Maduravoyal, Chennai"
Benelli TNT 25,2016,249,130000,30000,"Okkiyam Thuraipakkam, Chennai"
Bajaj Pulsar 220F,2012,220,28000,100000,"Sithalapakkam, Chennai"
Bajaj Avenger 220,2018,220,79000,15000,"Select Locality, Chennai"
TVS Heavy Duty Super XL,2019,69.9,40000,17000,"Maduravoyal, Chennai"
TVS Scooty,2010,87.8,NA,15000,"Avadi, Chennai"
TVS Scooty,2010,87.8,10000,20000,"Avadi, Chennai"
Aprilia SR 150,2018,154.4,65000,11500,"Old Mahabalipuram Road, Chennai"
Hero Honda CBZ Xtreme,2007,149.2,20000,30000,"Nerkundram, Chennai"
Royal Enfield Trials,2017,499,150000,10000,"Pallikaranai, Chennai"
KTM Duke 250,2020,248.8,190000,5000,"Chrompet, Chennai"
Suzuki Access,2011,124,20000,48500,"Chrompet, Chennai"
Royal Enfield Bullet Classic,2019,346,49000,9196,"Kattankulathur, Chennai"
Yamaha FZ S,2014,153,48000,30000,"Porur, Chennai"
Yezdi Roadking,NA,NA,39999,25000,"Rukmani Lakshmipathi Road, Chennai"
Royal Enfield Bullet Classic,2020,346,55000,7775,"Koyambedu, Chennai"
Yamaha FZ 16,2017,153,65000,16952,"Washermanpet, Chennai"
Royal Enfield Thunderbird 350,2008,346,NA,32000,"Adambakkam, Chennai"
Honda Dio,2016,109,40000,25000,"Ayanavaram, Chennai"
TVS Apache RTR 200,2016,197.75,55000,27000,"Navallur, Chennai"
Yamaha FZ S,2016,153,45000,50000,"Kundrathur, Chennai"
Royal Enfield Bullet Classic,2017,346,135000,22000,"Mylapore, Chennai"
Royal Enfield Thunderbird 350,2018,346,125000,20000,"Virugambakkam, Chennai"
Suzuki Access 125,2011,124,22000,24864,"CIT Nagar, Chennai"
KTM Duke 250,2020,248.8,210000,7327,"Vengaivasal, Chennai"
KTM RC 390,2017,373.27,160000,5600,"Adyar, Chennai"
Yamaha YZF R15,2016,149,85000,23300,"Guduvanchery, Chennai"
Yamaha RX100,NA,NA,90000,NA,"Villivakkam, Chennai"
Honda Activa,NA,109,30000,NA,Chennai
TVS Apache RTR 200,2016,197.75,85000,13500,"Mogappair West, Chennai"
Hero Splendor Plus 100,2008,97.2,27000,25000,"Koyambedu, Chennai"
TVS Ntorq 125,2018,124.79,50000,39300,"Santhome, Chennai"
Royal Enfield Bullet 350 Twinspark,2018,346,114999,33000,"Thiruninravur, Chennai"
KTM Duke 250,2020,248.8,210000,7327,"Medavakkam, Chennai"
Royal Enfield Bullet,2015,346,125000,13100,"Adyar, Chennai"
Bajaj Pulsar 160 NS,2020,160.3,1010000,3500,"Perungalathur, Chennai"
Yamaha RX135,NA,132,95000,200,"Broadway, Chennai"
Bajaj Discover,2011,124.52,18000,25000,"Porur, Chennai"
Bajaj Avenger 220,2018,220,87000,1000,"Ambattur, Chennai"
Bajaj Discover,2011,124.52,18000,25000,"Porur, Chennai"
Yamaha YZF R15,2015,149,75000,32800,"Velachery, Chennai"
Yamaha YZF R15,2021,149,170000,1000,"Perambakkam, Chennai"
Bajaj Pulsar 220F,2014,220,40000,80000,"Maduravoyal, Chennai"
Bajaj Pulsar 180,2017,178.6,45000,50000,"Okkiyam Thuraipakkam, Chennai"
Bajaj Pulsar 220F,2011,220,40000,25000,"West Mambalam, Chennai"
Hero Splendor Plus 100,2019,97.2,58000,26086,"Kolathur, Chennai"
Hero Honda Passion,2009,97.2,16000,54900,"Saligramam, Chennai"
Honda CB Hornet 160R,2016,162.71,58000,33000,"Mogappair, Chennai"
TVS Star Sport,2016,99.7,25000,25000,"Velachery, Chennai"
Bajaj Pulsar 220F,2015,220,58000,23000,"Tondiarpet, Chennai"
Royal Enfield Bullet Classic,2018,346,130000,12600,"Select Locality, Chennai"
Hero Impulse,2012,149.2,70000,55000,"Kolathur, Chennai"
Hero Impulse,2012,149.2,70000,55000,"Kolathur, Chennai"
Mahindra Duro,2012,124.6,27500,27000,"Kundrathur, Chennai"
UM Motorcycles Renegade Commando,2018,223,120000,8536,"Choolai, Chennai"
TVS Apache RTR 160,2018,159.7,60000,16000,"Pammal, Chennai"
Bajaj Pulsar 220F,2016,220,60000,20000,"Adyar, Chennai"
Royal Enfield Bullet,2000,346,100000,40000,"Avadi, Chennai"
Honda CB Hornet 160R,2020,162.71,130000,1150,"Iyyappanthangal, Chennai"
Yamaha YZF R15,2011,149,46000,72340,"Nesapakkam, Chennai"
Yamaha FZ S,2012,153,NA,60000,"Medavakkam, Chennai"
Hero Passion Xpro,2015,110,33500,38500,"Thirumullaivoyal, Chennai"
Honda Dio,2016,109,41000,25000,"Ayanavaram, Chennai"
Hero Maestro,2015,109,30000,25000,"Avadi, Chennai"
Royal Enfield Bullet Classic,2018,346,135000,14500,"Mannady, Chennai"
Yamaha FZ 16,2016,153,47000,35000,"Avadi, Chennai"
Honda Shine SP,2019,124.73,51000,7000,"Mogappair, Chennai"
Hero Maestro,2015,109,35000,36000,"Thyagaraya Nagar, Chennai"
Yamaha SZ-RR,2017,153,55000,11300,"Thyagaraya Nagar, Chennai"
Royal Enfield Bullet Electra,2017,346,90000,27697,"Chennai G.p.o., Chennai"
Bajaj Pulsar 220F,2020,220,128000,7000,"Thiruvanmiyur, Chennai"
Honda Activa,2008,109,10500,70000,"Urapakkam, Chennai"
Suzuki Access,2013,124,24000,30000,"Puzhal, Chennai"
Aprilia SR 150,2020,154.4,110000,8000,"Villivakkam, Chennai"
Honda CBF Stunner,2011,124.7,18000,38000,"Pallikaranai, Chennai"
Honda Activa,2009,109,20000,43000,"Ambattur, Chennai"
Bajaj Dominar 400,2019,373.3,168000,31500,"St. Thomas Mount, Chennai"
TVS Ntorq 125,2018,124.79,60000,18000,"Tondiarpet, Chennai"
TVS Apache RTR 200,2017,197.75,51000,27350,"Kodambakkam, Chennai"
KTM Duke 390,2014,373,150000,15000,"Tambaram, Chennai"
Royal Enfield Trials,2014,346,25000,1568,"Chintadripet, Chennai"
KTM Duke 390,2014,373,150000,15000,"Kodambakkam, Chennai"
KTM Duke 390,2015,373,145000,15000,"Kodambakkam, Chennai"
KTM Duke 390,2014,373,NA,15000,"Kodambakkam, Chennai"
Bajaj Pulsar 220F,2016,220,45000,158000,"Adyar, Chennai"
Bajaj Avenger 150,2016,150,400000,300000,"Gummidipundi, Chennai"
KTM Duke 125,2021,124.7,70000,4675,"Aranvoyal, Chennai"
Piaggio Vespa,2016,125,52000,400000,"Tiruvottiyur, Chennai"
Royal Enfield Bullet Classic,2019,346,150000,23000,"Muthamizh Nagar, Chennai"
Yamaha FZ25,2018,249,114999,12500,"Kodambakkam, Chennai"
Yamaha RX135,2001,132,68000,14000,"Chintadripet, Chennai"
Bajaj Pulsar NS200,2014,199.5,NA,43000,"Avadi, Chennai"
Honda CB Trigger 150,2015,150,28000,37000,"Nanmangalam, Chennai"
Yamaha FZ25,2018,249,100000,12500,"Kodambakkam, Chennai"
Hero Maestro,2014,109,19000,50000,"Arumbakkam, Chennai"
Mahindra Gusto,2015,109.6,25000,20000,"Redhills, Chennai"
Hero Splendor Plus 100,2002,97.2,18500,85869,"Sholingnallur, Chennai"
Hero Honda CBZ Xtreme,2008,149.2,13000,50000,"Broadway, Chennai"
Honda CB Unicorn 160,2015,162.71,55000,26800,"Triplicane, Chennai"
Honda Activa 4G,2018,109.2,22000,7460,"Abhiramapuram, Chennai"
Royal Enfield Trials,2014,346,25000,1568,"Mogappair, Chennai"
Royal Enfield Thunderbird 350,2017,346,120000,35300,"Perambur, Chennai"
TVS Wego,2011,NA,23000,24000,"Adambakkam, Chennai"
Honda Dio,2018,109,45000,35000,"Thiruverkadu, Chennai"
Yamaha YZF R15,2016,149,100000,16000,"Perumbakkam, Chennai"
Honda Dio,2019,109,65000,18000,"Guduvanchery, Chennai"
Hero Passion Pro 100,2013,97.2,30000,35000,"Choolaimedu, Chennai"
KTM Duke 200,2016,199.5,25000,15383,"Kalpakkam, Chennai"
Hero Pleasure 100,2014,102,26500,1860,"Venmanambudur, Chennai"
TVS Apache RTR 200,2015,197.75,55000,55000,"Avadi, Chennai"
Honda CBR150R,2012,149.4,70000,20000,"Mandaveli, Chennai"
Bajaj Discover 125cc,2014,124.6,24000,70000,"Neelankarai, Chennai"
Bajaj Dominar 400,2019,373.3,165000,22000,"Thiruvottiyur, Chennai"
Bajaj Pulsar 150,2009,150,25000,100000,"Paruthipattu, Chennai"
Hero Maestro Edge 125,2018,124.6,48000,7500,"Mylapore, Chennai"
Royal Enfield Thunderbird 350,2005,346,42000,8000,"Madipakkam, Chennai"
KTM Duke 250,2021,248.8,95000,9536,"Erukkancheri, Chennai"
Honda Activa 4G,2019,109.2,NA,9000,"Vyasar Nagar Colony, Chennai"
Royal Enfield Thunderbird 350,2017,346,120000,24500,"Icfcolony, Chennai"
Hero Karizma ZMR,2010,223,40000,45000,"Anna Nagar Western Extn., Chennai"
TVS Apache RTR 160,2017,159.7,62000,27560,"Kolathur, Chennai"
TVS Jive,2011,109.7,22000,30000,"Selaiyur, Chennai"
Royal Enfield Bullet Classic,2020,346,195000,1100,"Sriperumbudur, Chennai"
Honda Dazzler,2010,149.1,35000,37500,"Raja Annamalaipuram, Chennai"
KTM Duke 200,2016,199.5,25000,15298,"Arumbakkam, Chennai"
Honda Activa 125cc,2016,124.9,29500,39000,"Chrompet, Chennai"
TVS XL 100,2018,99.7,24500,36000,"Chrompet, Chennai"
KTM Duke 200,2016,199.5,24999,15298,"G K M Colony, Chennai"
Royal Enfield Bullet Classic,2018,346,120000,15000,"Anna Nagar, Chennai"
Honda Dio,2017,109,17500,9536,"Injambakkam, Chennai"
TVS Apache RTR 160,2017,159.7,55000,27650,"Kolathur, Chennai"
Royal Enfield Himalayan,2018,411,150000,4200,"Alwarpet, Chennai"
Royal Enfield Trials,2014,346,25000,1568,"Chrompet, Chennai"
Honda Shine SP,2016,124.73,41000,45000,"Nanmangalam, Chennai"
Honda Dio,2017,109,17500,9536,"Chitlapakkam, Chennai"
Yamaha SZ-R,2012,153,21000,56350,"Valasaravakkam, Chennai"
Bajaj Pulsar 125,2021,124.4,95000,2000,"West Mambalam, Chennai"
Honda Activa 4G,2020,109.2,65000,11000,"Maduravoyal, Chennai"
Hero Splendor Plus 100,2006,97.2,17500,85869,"Meenambakkam, Chennai"
TVS Apache RTR 160,2010,159.7,54000,40000,"Saidapet, Chennai"
Bajaj Pulsar,2011,NA,22000,40000,"Ambattur, Chennai"
Yamaha SZ-RR,2012,153,19999,78639,"Eswaran Nagar, Chennai"
Honda Dio,2018,109,52499,16000,"George Town, Chennai"
Honda Dio,2017,109,17500,9536,"Kasturba Nagar, Chennai"
Mahindra Pantero,2020,106.7,680000,34300,"Virugambakkam, Chennai"
Honda CB Unicorn 160,2015,162.71,49500,33000,"Ambattur, Chennai"
Hero Maestro Edge 125,2017,124.6,35000,19000,"Adyar, Chennai"
TVS Scooty,2009,87.8,17000,25000,"Vanagaram, Chennai"
Yamaha Ray Z,2019,113,60000,9500,"Anna Nagar, Chennai"
TVS Victor,2016,109.2,42000,38000,"Vandalur, Chennai"
Honda Dio,2017,109,17500,9536,"Gerugambakkam, Chennai"
TVS Radeon,2019,109.7,60000,3600,"Ambattur, Chennai"
Yamaha FZ S,2015,153,60000,14294,"Madipakkam, Chennai"
Bajaj Pulsar 180,2010,178.6,42000,42000,"Madhavaram, Chennai"
Bajaj Pulsar 220F,2015,220,64900,20000,"Thiruvanmiyur, Chennai"
Bajaj Pulsar 220F,2015,220,60000,20000,"Adyar, Chennai"
Bajaj Pulsar 220F,2015,220,60000,20000,"Adyar, Chennai"
Bajaj Platina,2010,124.6,NA,4500,"Shastri Nagar, Chennai"
TVS Jupiter,2020,109,65000,5000,"Maduravoyal, Chennai"
Bajaj Pulsar,2014,NA,45000,49000,"Ambattur, Chennai"
Royal Enfield Bullet Classic,2019,346,155000,1500,"Kolathur, Chennai"
TVS Jupiter,2019,109,55000,21000,"Maduravoyal, Chennai"
Aprilia SR 150,2018,154.4,65000,11500,"Velachery, Chennai"
Hero Splendor Plus 100,2006,97.2,17500,89653,"Meenambakkam, Chennai"
Yamaha YZF R15,2018,149,105000,18000,"Guindy, Chennai"
Yamaha YZF R15,2018,149,105000,18000,"Guindy, Chennai"
Honda VFR1200F,2021,1237,37000,220,"Ambattur Industrial Estate, Chennai"
Bajaj Avenger 150,2016,150,63000,24000,"Anna Nagar Western Extn., Chennai"
TVS Apache RTR 160,2009,159.7,25000,35000,"Kolathur, Chennai"
Bajaj Avenger 220,2013,220,40000,12000,"Mandaveli, Chennai"
Honda CB Unicorn,2018,149.1,65000,27000,"George Town, Chennai"
Honda Shine SP,2016,124.73,32000,59500,"Perambur, Chennai"
Honda Grazia,2018,124.9,45000,60000,"Villivakkam, Chennai"
Honda Shine SP,2018,124.73,50000,41600,"Ramapuram, Chennai"
Hero Splendor Pro 100,2012,97.2,38000,28900,"Perambur, Chennai"
Yamaha YZF R15,2018,149,100000,10727,"Avadi, Chennai"
Jawa Forty Two,2019,293,165000,6000,"Vadapalani, Chennai"
Honda Dio,2017,109,41000,18000,"Perambur Barracks, Chennai"
Honda CBR250R,2013,249.6,80000,58000,"Sithalapakkam, Chennai"
Bajaj Pulsar 150,2012,150,23500,28000,"Guindy, Chennai"
Yamaha FZ S,2021,153,114999,1267,"Kilpauk, Chennai"
TVS Jupiter,2016,109,38000,14300,"Raja Annamalaipuram, Chennai"
TVS Apache RTR 160,2009,159.7,22000,35000,"Kolathur, Chennai"
TVS Apache RTR 160 4V,2019,159.7,89000,5850,"Parrys, Chennai"
Honda CBR250R,2013,249.6,79000,58000,"Sithalapakkam, Chennai"
Honda Activa,2017,109,50000,18000,"Velachery, Chennai"
Piaggio Vespa,2006,125,65000,72700,"Pallikaranai, Chennai"
KTM Duke 125,2019,124.7,95000,16000,"Washermanpet, Chennai"
Yamaha Fazer,2014,123.7,45000,49000,"Tambaram, Chennai"
Yamaha RX135,2002,132,90000,1635,"Ambattur Industrial Estate, Chennai"
Suzuki Access,2011,124,15000,20000,"Kolathur, Chennai"
TVS Apache,2009,177.4,27000,25000,"Teynampet, Chennai"
Bajaj Pulsar NS200,2014,199.5,55000,42000,"Avadi, Chennai"
KTM Duke 250,2021,248.8,89999,46123,"Gowrivakkam, Chennai"
Yamaha Fazer,2011,123.7,23000,45000,"Virugambakkam, Chennai"
Yamaha Fazer,2011,123.7,20000,78000,"Mandaveli, Chennai"
Piaggio Vespa,2018,125,59000,6500,"Aminjikarai, Chennai"
Bajaj CT 100,2006,99.27,11000,17532,"Kolathur, Chennai"
Yamaha YZF R15,2018,149,105000,18000,"Guindy, Chennai"
Bajaj Pulsar 160 NS,2018,160.3,60000,20000,"Mogappair East, Chennai"
Honda Dio,2017,109,17500,9536,"Chettipunyam, Chennai"
Yamaha FZ S,2018,153,73000,17000,"Anna Nagar Western Extn., Chennai"
Bajaj Avenger 150,2016,150,63000,24000,"Anna Nagar Western Extn., Chennai"
TVS Scooty,2012,87.8,15000,1500,"Adambakkam, Chennai"
Bajaj Boxer,2004,NA,20000,75000,"Thiruvanmiyur, Chennai"
KTM Duke 250,2021,248.8,89999,46123,"Ariyalur, Chennai"
Honda Activa,2012,109,25000,27000,"Nolambur, Chennai"
Royal Enfield Bullet Classic,2020,346,65000,7857,"Guindy Industrial Estate, Chennai"
TVS Wego,2012,NA,25500,23000,"Thiruvanmiyur, Chennai"
Hero Splendor Plus 100,2019,97.2,55000,9800,"Anna Nagar East, Chennai"
Honda Activa,2014,109,38000,21772,"Virugambakkam, Chennai"
KTM Duke 200,2019,199.5,160000,17200,"Ambattur, Chennai"
Hero Passion Pro 100,2011,97.2,16500,24000,"Pallikaranai, Chennai"
TVS Apache RTR 160 4V,2018,159.7,60000,8000,"Mylapore, Chennai"
Bajaj Pulsar NS200,2017,199.5,78000,29000,"Kandigai, Chennai"
Honda Dio,2012,109,20000,33000,"Shenoy Nagar, Chennai"
Suzuki Gixxer SF,2015,155,39500,39000,"Velachery, Chennai"
Yamaha FZ S,2010,153,28999,45000,"Choolaimedu, Chennai"
Honda Grazia,2018,124.9,45000,60000,"Villivakkam, Chennai"
Honda Dio,2015,109,40000,26000,"Thiruverkadu, Chennai"
KTM RC 200,2019,199.5,185000,10900,"Avadi, Chennai"
Honda Shine SP,2018,124.73,55000,24000,"Vysarpadi, Chennai"
Honda Activa 125cc,2017,124.9,60000,11600,"Valasaravakkam, Chennai"
Hero Passion Pro 100,2010,97.2,30000,39600,"Nolambur, Chennai"
Suzuki Hayate,2013,112.8,35000,30000,"Pudupakkam, Chennai"
Yamaha RX100,NA,NA,110000,1900,"Saligramam, Chennai"
Bajaj Pulsar RS200,2019,199.5,130000,15800,"Perungalathur, Chennai"
Hero Splendor Pro 100,2013,97.2,28100,21208,"Saligramam, Chennai"
Royal Enfield Bullet Classic,2017,346,140000,31000,"Choolaimedu, Chennai"
Hero Splendor Plus 100,2010,97.2,18000,7346,"Adambakkam, Chennai"
Bajaj Pulsar 180,2017,178.6,60000,28000,"Ayappakkam, Chennai"
TVS Jupiter,2017,109,49500,12900,"Villivakkam, Chennai"
Bajaj Pulsar RS200,2015,199.5,70000,39000,"Gummidipundi, Chennai"
Yamaha YZF R1,2011,998,NA,NA,"Mahindra World City, Chennai"
Yamaha Fascino,2017,113,42500,19269,"Pammal, Chennai"
Yamaha FZ S,2019,153,90000,3700,"Koyambedu, Chennai"
Bajaj Pulsar 220F,2016,220,75000,38000,"Tambaram East, Chennai"
Royal Enfield Bullet Classic,2013,346,110000,16111,"Anna Nagar East, Chennai"
Honda Activa 125cc,2021,124.9,NA,NA,"Poonamallee High Road, Chennai"
Honda Dio,2012,109,19500,26000,"Perambakkam, Chennai"
Bajaj Pulsar,2014,NA,36000,41000,"Redhills, Chennai"
Hero Passion Pro 100,2010,97.2,21000,30000,"Mappedu, Chennai"
Honda Activa 4G,2021,109.2,81000,3500,"Chitlapakkam, Chennai"
Royal Enfield Bullet Classic,2016,499,90000,49600,"Ramapuram, Chennai"
TVS Scooty,2018,87.8,37000,21000,"Medavakkam, Chennai"
Royal Enfield Bullet Classic,2018,499,180000,723,"Iyyappanthangal, Chennai"
Yamaha FZ S,2012,153,40000,78000,"Velachery, Chennai"
TVS Apache RTR 200,2020,197.75,90000,14000,"Kalpakkam, Chennai"
Bajaj Pulsar,2007,200,27500,26000,"Pammal, Chennai"
Bajaj M80,2001,74.08,NA,50000,"Tiruvottiyur, Chennai"
Yamaha RX135,1998,132,46500,50000,"Guduvanchery, Chennai"
TVS Scooty,2012,87.8,20000,10000,"Tondiarpet, Chennai"
Yamaha YZF R15,2013,149,70000,28000,"Thoraipakkam, Chennai"
Yamaha YZF R15,2015,149,70000,20000,"Adyar, Chennai"
KTM RC 200,2015,199.5,110000,20000,"Choolaimedu, Chennai"
Yamaha Fascino,2020,113,40000,9000,"Tambaram East, Chennai"
Suzuki Access,2011,124,15000,20000,"Anna Nagar, Chennai"
Honda Activa,2010,109,20000,30000,"Sriperumbudur, Chennai"
Honda Activa,2010,109,20000,30000,"Sriperumbudur, Chennai"
Honda CB Unicorn 160,2015,162.71,50000,48000,"Kolathur, Chennai"
Bajaj Pulsar 150,2016,150,50000,62000,"Kolapakkam, Chennai"
Hero Maestro Edge 125,2018,124.6,36000,37200,"Ambattur, Chennai"
Bajaj Pulsar 220F,2015,220,65000,19900,"Adyar, Chennai"
Honda Dio,2017,109,17500,9536,"Guduvanchery, Chennai"
Bajaj Pulsar 180,2017,178.6,65000,10000,"Madipakkam, Chennai"
TVS Ntorq 125,2021,124.79,95000,2500,"Redhills, Chennai"
TVS Ntorq 125,2021,124.79,93000,2500,"Redhills, Chennai"
Yamaha RX135,2000,132,100000,300,"Neelankarai, Chennai"
Bajaj Pulsar 220F,2014,220,50000,47000,"Pallavaram, Chennai"
Bajaj Pulsar NS200,2021,199.5,172000,NA,"Ambattur, Chennai"
Yamaha YZF R15,2017,149,85000,40000,"Urapakkam West, Chennai"
Hero Pleasure 100,2020,102,56000,6100,"Washermanpet, Chennai"
Hero Pleasure 100,2020,102,56000,6000,"Washermanpet, Chennai"
TVS XL 100,2012,99.7,14999,10000,"Ambattur, Chennai"
Honda Activa i,2014,109.2,35000,32000,"Kotturpuram, Chennai"
Bajaj Pulsar 150,2011,150,18000,14000,"Adyar, Chennai"
Honda CB Twister,2012,109,25000,25000,"Manapakkam, Chennai"
Honda CBR250R,2015,249.6,92000,17000,"Ashok Nagar, Chennai"
Honda Activa i,2014,109.2,35000,32000,"Kotturpuram, Chennai"
Honda Dio,2017,109,17500,9536,"Mandaveli, Chennai"
TVS Apache,2007,NA,20000,30000,"Mangadu, Chennai"
Honda CB Unicorn,2013,149.1,37500,32000,"Injambakkam, Chennai"
Bajaj Pulsar 220F,2016,220,60000,20000,"Adyar, Chennai"
Bajaj Pulsar,2015,NA,45000,45500,"Thiruttani, Chennai"
TVS Scooty,2008,59.9,NA,37000,"Chitlapakkam, Chennai"
UM Motorcycles Renegade Sport S,2018,279,180000,8500,"Saidapet, Chennai"
Royal Enfield Bullet Classic,2020,346,56000,10764,"Alandur, Chennai"
KTM Duke 200,2016,199.5,25000,14370,"Vanagaram, Chennai"
Bajaj Platina 100 ES,2013,102,25499,30000,"Medavakkam, Chennai"
TVS Phoenix,2013,124.5,28000,47500,"Kodambakkam, Chennai"
KTM RC 200,2016,199.5,146000,17690,"Anna Nagar East, Chennai"
Bajaj Pulsar RS200,2019,199.5,105000,7000,"Gerugambakkam, Chennai"
Honda Dio,2020,109,65000,15000,"Thiruvottiyur, Chennai"
Royal Enfield Bullet,2015,346,90000,46000,"Select Locality, Chennai"
TVS Scooty Pep,2008,74.6,NA,NA,"Ambattur, Chennai"
Bajaj Pulsar 220F,2020,220,80000,21500,"Adyar, Chennai"
Yamaha Ray Z,2015,113,30000,30250,"Ponneri, Chennai"
Yamaha FZ25,2018,249,110000,17000,"Mogappair East, Chennai"
KTM Duke 250,2021,248.8,89999,46123,"Chetpet, Chennai"
Suzuki Burgman Street,2018,124,69999,35000,"Navallur, Chennai"
Yamaha RX100,NA,NA,70000,68000,"Madipakkam, Chennai"
Yamaha FZ 16,2012,153,35000,70000,"Parrys, Chennai"
Suzuki Access 125,2010,124,16000,20000,"Ambattur, Chennai"
TVS Apache RTR 200,2019,197.75,68000,10000,"Maduravoyal, Chennai"
Honda CB Hornet 160R,2017,162.71,50000,60000,"Madhavaram, Chennai"
Hero Pleasure 100,2018,102,48000,11000,"Urapakkam West, Chennai"
Suzuki Gixxer,2017,155,55000,16000,"Maduravoyal, Chennai"
Honda Activa 4G,2018,109.2,25000,6262,"Indira Nagar, Chennai"
Aprilia SR 150,2019,154.4,78000,8700,"Korukkupet, Chennai"
Royal Enfield Bullet Classic,2018,346,60000,13565,"Egattur, Chennai"
KTM Duke 250,2021,248.8,89999,46123,"Abhiramapuram, Chennai"
Honda CB Trigger 150,2013,150,35000,25000,"Adambakkam, Chennai"
Royal Enfield Thunderbird 500X,2021,499,225000,10750,"Thiruverkadu, Chennai"
KTM Duke 250,2016,248.8,25000,15298,"Chepauk, Chennai"
Bajaj Pulsar 160 NS,2019,160.3,82999,16000,"Madhavaram, Chennai"
Honda Activa,2009,109,16000,34000,"Chrompet, Chennai"
Royal Enfield Bullet Classic,2018,346,60000,13565,"Attipatttu, Chennai"
Yamaha Ray Z,2020,113,75000,6200,"Washermanpet, Chennai"
Honda Dio,2018,109,45500,22000,"Guindy, Chennai"
Bajaj Pulsar 150,2012,150,24500,38000,"Guindy, Chennai"
Bajaj Pulsar NS200,2013,199.5,40000,38000,"Nanganallur, Chennai"
Suzuki Gixxer,2017,155,80000,8000,"Ambattur, Chennai"
Royal Enfield Thunderbird 350,2015,346,70000,14500,"Poonamallee, Chennai"
Bajaj Discover F150,2015,144.8,30000,40000,"Vengaivasal, Chennai"
Yamaha YZF R1,2016,998,80000,21000,"Selaiyur, Chennai"
KTM Duke 250,2021,248.8,89999,4612,"Adyar, Chennai"
